test_series_signature_id,fn_count,fp_count,sp_count,tp_count,true_count,total_count
3779885,0,2,8,13,13,23
4722823,5,4,0,12,17,21
3869345,0,2,6,12,12,20
3870018,0,0,11,8,8,19
3869259,0,2,6,11,11,19
3779889,0,2,3,14,14,19
3779886,0,3,5,11,11,19
3870270,0,0,11,8,8,19
3777797,0,0,10,8,8,18
3778073,0,3,5,10,10,18
3778074,0,3,4,10,10,17
3779213,0,0,8,9,9,17
4405991,0,0,9,7,7,16
4405847,0,0,8,8,8,16
3779386,1,1,7,6,7,15
3778077,0,4,4,7,7,15
3777937,0,0,7,8,8,15
3777932,0,0,7,8,8,15
3870451,0,0,9,6,6,15
4967483,0,0,9,6,6,15
3779215,0,0,5,9,9,14
3779388,0,0,7,7,7,14
3777935,0,0,6,8,8,14
3779396,0,0,8,6,6,14
3870274,0,0,5,9,9,14
3870269,0,2,5,7,7,14
4405843,0,0,7,7,7,14
4405849,0,0,10,4,4,14
3870271,0,0,6,7,7,13
3870020,0,0,8,5,5,13
3779392,0,0,7,6,6,13
3777799,0,0,8,5,5,13
4588356,0,0,1,11,11,12
3779887,1,1,3,7,8,12
4405662,0,0,7,5,5,12
3777933,0,0,7,5,5,12
4864567,1,2,0,9,10,12
4405844,0,0,5,7,7,12
4405842,0,0,8,4,4,12
4721114,2,2,0,7,9,11
4967471,0,0,9,2,2,11
4967592,0,0,7,4,4,11
3777839,0,3,3,5,5,11
3778072,0,3,3,5,5,11
3778075,1,2,1,7,8,11
3869261,1,2,3,5,6,11
4168121,0,1,6,4,4,11
3869349,0,1,4,6,6,11
4168129,0,0,8,2,2,10
3870272,0,2,2,6,6,10
3777769,0,3,3,4,4,10
3777906,0,2,1,7,7,10
3777765,0,2,1,7,7,10
4405845,0,1,2,7,7,10
4168965,0,0,7,3,3,10
4168120,0,0,7,3,3,10
4168123,0,0,8,2,2,10
4405777,1,2,2,5,6,10
4405667,0,0,7,3,3,10
4168126,0,0,8,2,2,10
4366854,0,0,2,8,8,10
4168966,1,0,5,4,5,10
3777106,0,0,4,6,6,10
