file_name,TN,TP,FP,FN,SP,Precision_SP_as_TP,Recall_SP_as_TP,F1_Score_SP_as_TP,Precision_SP_as_FP,Recall_SP_as_FP,F1_Score_SP_as_FP
5093479_timeseries_data.csv,181,1,0,0,1,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
4974900_timeseries_data.csv,937,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
4928648_timeseries_data.csv,2042,2,0,0,5,1.0,1.0,1.0,0.2857142857142857,1.0,0.4444444444444445
4975029_timeseries_data.csv,850,3,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
4775529_timeseries_data.csv,2054,1,0,0,1,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
4769063_timeseries_data.csv,2489,2,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
4775120_timeseries_data.csv,2028,1,0,0,2,1.0,1.0,1.0,0.3333333333333333,1.0,0.5
4951984_timeseries_data.csv,2144,0,0,0,11,1.0,1.0,1.0,0.0,0.0,0.0
4775855_timeseries_data.csv,2645,3,0,0,1,1.0,1.0,1.0,0.75,1.0,0.8571428571428571
4769032_timeseries_data.csv,1936,3,0,1,0,1.0,0.75,0.8571428571428571,1.0,0.75,0.8571428571428571
4769114_timeseries_data.csv,2944,4,3,0,0,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714,1.0,0.7272727272727273
4951977_timeseries_data.csv,2147,0,0,0,8,1.0,1.0,1.0,0.0,0.0,0.0
5097075_timeseries_data.csv,189,0,0,0,1,1.0,1.0,1.0,0.0,0.0,0.0
4967459_timeseries_data.csv,1584,2,0,0,3,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
4775922_timeseries_data.csv,2184,2,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
4769090_timeseries_data.csv,3611,5,0,0,3,1.0,1.0,1.0,0.625,1.0,0.7692307692307693
4967595_timeseries_data.csv,1152,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
4769089_timeseries_data.csv,3612,5,0,0,2,1.0,1.0,1.0,0.7142857142857143,1.0,0.8333333333333333
4774994_timeseries_data.csv,2336,2,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
4775530_timeseries_data.csv,2053,0,0,0,3,1.0,1.0,1.0,0.0,0.0,0.0
5097306_timeseries_data.csv,146,1,0,0,1,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
5098474_timeseries_data.csv,146,1,0,0,1,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
4975092_timeseries_data.csv,4,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
4975030_timeseries_data.csv,852,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
5097220_timeseries_data.csv,185,1,0,0,1,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
5093955_timeseries_data.csv,148,1,0,0,1,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
5096028_timeseries_data.csv,144,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
4769115_timeseries_data.csv,3610,5,1,0,3,0.8888888888888888,1.0,0.9411764705882353,0.5555555555555556,1.0,0.7142857142857143
4951976_timeseries_data.csv,2126,0,0,0,29,1.0,1.0,1.0,0.0,0.0,0.0
4775923_timeseries_data.csv,2182,3,0,0,1,1.0,1.0,1.0,0.75,1.0,0.8571428571428571
4769091_timeseries_data.csv,3610,7,0,0,2,1.0,1.0,1.0,0.7777777777777778,1.0,0.8750000000000001
4775007_timeseries_data.csv,2337,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5098757_timeseries_data.csv,146,1,0,0,1,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
4775121_timeseries_data.csv,2028,1,0,0,2,1.0,1.0,1.0,0.3333333333333333,1.0,0.5
